"","DaysFromLastLoc","MetersFromLastLocation","DaysSinceRel","CL_prox_m","Date","TagSite","Species","TL","RewardTag1","Combined","Radio.Tag.Frequency","Ramp","WeeksSinceRel","WeeksFromLastLoc","MetersPerWeek","A.D","GroupMovement"
"1",0,0,0,0,2023-03-11,"6","LMB",499,2411,"150.132I-0",150.132,"CL",0,0,NA,"A","A"
"2",33,9287.17189703593,33,9287.17189703593,2023-04-13,"6","LMB",499,2411,"150.132I-0",150.132,"CL",4.71428571428571,4.71428571428571,1970.00615997732,"A","A"
"3",18,3431.87307480127,51,10528.2840198237,2023-05-01,"6","LMB",499,2411,"150.132I-0",150.132,"CL",7.28571428571429,2.57142857142857,1334.61730686716,"A","A"
"4",8,1719.72611741138,59,8808.55791605879,2023-05-09,"6","LMB",499,2411,"150.132I-0",150.132,"CL",8.42857142857143,1.14285714285714,1504.76035273495,"A","A"
"5",16,2865.27520429245,75,5943.28272638897,2023-05-25,"6","LMB",499,2411,"150.132I-0",150.132,"CL",10.7142857142857,2.28571428571429,1253.55790187795,"A","A"
"6",12,22.5158769524136,87,5965.7985945682,2023-06-06,"6","LMB",499,2411,"150.132I-0",150.132,"CL",12.4285714285714,1.71428571428571,13.1342615555746,"A","A"
"7",15,6.65536028676169,102,5962.67994489663,2023-06-21,"6","LMB",499,2411,"150.132I-0",150.132,"CL",14.5714285714286,2.14285714285714,3.10583480048879,"A","A"
"8",16,28.0579515768115,118,5934.6220040417,2023-07-07,"6","LMB",499,2411,"150.132I-0",150.132,"CL",16.8571428571429,2.28571428571429,12.275353814855,"A","A"
"9",11,17.3214636924209,129,5951.94344823906,2023-07-18,"6","LMB",499,2411,"150.132I-0",150.132,"CL",18.4285714285714,1.57142857142857,11.0227496224497,"A","A"
"10",16,4.33036500412968,145,5953.15514761437,2023-08-03,"6","LMB",499,2411,"150.132I-0",150.132,"CL",20.7142857142857,2.28571428571429,1.89453468930673,"A","A"
"11",24,12.64345633954,169,5962.67994489663,2023-08-27,"6","LMB",499,2411,"150.132I-0",150.132,"CL",24.1428571428571,3.42857142857143,3.68767476569916,"A","A"
"12",15,28.0579515768115,184,5934.6220040417,2023-09-11,"6","LMB",499,2411,"150.132I-0",150.132,"CL",26.2857142857143,2.14285714285714,13.0937107358454,"A","A"
"13",14,20.0924929579877,198,5954.71447750462,2023-09-25,"6","LMB",499,2411,"150.132I-0",150.132,"CL",28.2857142857143,2,10.0462464789938,"A","A"
"14",14,2.77102926556682,212,5951.94344823906,2023-10-09,"6","LMB",499,2411,"150.132I-0",150.132,"CL",30.2857142857143,2,1.38551463278341,"D","A"
"15",0,0,0,0,2023-04-19,"189","LMB",452,68,"150.132I-17",150.132,"CL",0,0,NA,"A","A"
"16",20,5960.51450380399,20,5960.51450380399,2023-05-09,"189","LMB",452,68,"150.132I-17",150.132,"CL",2.85714285714286,2.85714285714286,2086.1800763314,"A","A"
"17",16,479.373966126268,36,6240.8295890988,2023-05-25,"189","LMB",452,68,"150.132I-17",150.132,"CL",5.14285714285714,2.28571428571429,209.726110180242,"A","A"
"18",12,89.0475533678683,48,6329.8769126372,2023-06-06,"189","LMB",452,68,"150.132I-17",150.132,"CL",6.85714285714286,1.71428571428571,51.9444061312565,"A","A"
"19",15,51.626936795715,63,6278.2501024442,2023-06-21,"189","LMB",452,68,"150.132I-17",150.132,"CL",9,2.14285714285714,24.092570504667,"A","A"
"20",16,51.2812207539581,79,6329.53122191646,2023-07-07,"189","LMB",452,68,"150.132I-17",150.132,"CL",11.2857142857143,2.28571428571429,22.4355340798567,"A","A"
"21",11,21.972749217996,90,6333.34044423152,2023-07-18,"189","LMB",452,68,"150.132I-17",150.132,"CL",12.8571428571429,1.57142857142857,13.9826585932702,"A","A"
"22",17,76.399872472612,107,6409.74013458757,2023-08-04,"189","LMB",452,68,"150.132I-17",150.132,"CL",15.2857142857143,2.42857142857143,31.4587710181343,"A","A"
"23",23,398.463987733961,130,6011.27623741741,2023-08-27,"189","LMB",452,68,"150.132I-17",150.132,"CL",18.5714285714286,3.28571428571429,121.271648440771,"A","A"
"24",15,1256.31680423408,145,7267.59295108768,2023-09-11,"189","LMB",452,68,"150.132I-17",150.132,"CL",20.7142857142857,2.14285714285714,586.281175309235,"A","A"
"25",14,1011.01562627448,159,6274.26474306792,2023-09-25,"189","LMB",452,68,"150.132I-17",150.132,"CL",22.7142857142857,2,505.507813137241,"A","A"
"26",14,141.888010535804,173,6132.37693606046,2023-10-09,"189","LMB",452,68,"150.132I-17",150.132,"CL",24.7142857142857,2,70.944005267902,"A","A"
"27",38,4645.4487636465,211,3933.51630167102,2023-11-16,"189","LMB",452,68,"150.132I-17",150.132,"CL",30.1428571428571,5.42857142857143,855.740561724356,"A","A"
"28",18,355.002927622075,229,3868.08313400919,2023-12-04,"189","LMB",452,68,"150.132I-17",150.132,"CL",32.7142857142857,2.57142857142857,138.056694075251,"D","A"
"29",0,0,0,0,2023-04-01,"88","ALB",350,2406,"150.132I-26",150.132,"CL",0,0,NA,"A","A"
"30",12,33.6410278899038,12,33.6410278899038,2023-04-13,"88","ALB",350,2406,"150.132I-26",150.132,"CL",1.71428571428571,1.71428571428571,19.6239329357772,"A","A"
"31",17,333.877989389216,29,330.491173514411,2023-04-30,"88","ALB",350,2406,"150.132I-26",150.132,"CL",4.14285714285714,2.42857142857143,137.479172101442,"A","A"
"32",9,1510.24252061855,38,1716.50757944372,2023-05-09,"88","ALB",350,2406,"150.132I-26",150.132,"CL",5.42857142857143,1.28571428571429,1174.63307159221,"A","A"
"33",0,0,0,0,2023-03-26,"168","ALB",439,142,"150.132J-33",150.132,"CL",0,0,NA,"A","A"
"34",18,7147.04492804758,18,7147.04492804758,2023-04-13,"168","ALB",439,142,"150.132J-33",150.132,"CL",2.57142857142857,2.57142857142857,2779.40636090739,"A","A"
"35",18,8245.18857968822,36,1098.14554203899,2023-05-01,"168","ALB",439,142,"150.132J-33",150.132,"CL",5.14285714285714,2.57142857142857,3206.46222543431,"A","A"
"36",8,7.10128325175082,44,1092.81255880869,2023-05-09,"168","ALB",439,142,"150.132J-33",150.132,"CL",6.28571428571429,1.14285714285714,6.21362284528197,"A","A"
"37",15,15533.0893393684,59,14440.2786709581,2023-05-24,"168","ALB",439,142,"150.132J-33",150.132,"CL",8.42857142857143,2.14285714285714,7248.7750250386,"A","A"
"38",12,22.8740296112831,71,14417.4049166765,2023-06-05,"168","ALB",439,142,"150.132J-33",150.132,"CL",10.1428571428571,1.71428571428571,13.3431839399152,"A","A"
"39",17,1827.28056094285,88,12590.1265891136,2023-06-22,"168","ALB",439,142,"150.132J-33",150.132,"CL",12.5714285714286,2.42857142857143,752.409642741172,"A","A"
"40",15,1316.31841086695,103,13903.3282951022,2023-07-07,"168","ALB",439,142,"150.132J-33",150.132,"CL",14.7142857142857,2.14285714285714,614.281925071245,"A","A"
"41",10,5267.63898699832,113,9759.34466189125,2023-07-17,"168","ALB",439,142,"150.132J-33",150.132,"CL",16.1428571428571,1.42857142857143,3687.34729089883,"A","A"
"42",18,6419.9536223988,131,4084.82525179945,2023-08-04,"168","ALB",439,142,"150.132J-33",150.132,"CL",18.7142857142857,2.57142857142857,2496.64863093287,"A","A"
"43",38,2.7723006266559,169,4087.59750082108,2023-09-11,"168","ALB",439,142,"150.132J-33",150.132,"CL",24.1428571428571,5.42857142857143,0.510686957541877,"D","A"
"44",0,0,0,0,2023-04-15,"38","LMB",485,1461,"150.333J-34",150.333,"CL",0,0,NA,"A","A"
"45",16,5164.30655026261,16,5164.30655026261,2023-05-01,"38","LMB",485,1461,"150.333J-34",150.333,"CL",2.28571428571429,2.28571428571429,2259.38411573989,"A","A"
"46",8,128.821891504634,24,5108.45198610644,2023-05-09,"38","LMB",485,1461,"150.333J-34",150.333,"CL",3.42857142857143,1.14285714285714,112.719155066555,"A","A"
"47",16,87.5224132657643,40,5141.05828880445,2023-05-25,"38","LMB",485,1461,"150.333J-34",150.333,"CL",5.71428571428571,2.28571428571429,38.2910558037719,"A","A"
"48",12,45.7294181915048,52,5155.64550739142,2023-06-06,"38","LMB",485,1461,"150.333J-34",150.333,"CL",7.42857142857143,1.71428571428571,26.6754939450445,"A","A"
"49",15,50.9635059596353,67,5130.28157026109,2023-06-21,"38","LMB",485,1461,"150.333J-34",150.333,"CL",9.57142857142857,2.14285714285714,23.7829694478298,"A","A"
"50",16,520.345790659837,83,4669.19021590306,2023-07-07,"38","LMB",485,1461,"150.333J-34",150.333,"CL",11.8571428571429,2.28571428571429,227.651283413679,"A","A"
"51",11,68.7633517706395,94,4722.35996950205,2023-07-18,"38","LMB",485,1461,"150.333J-34",150.333,"CL",13.4285714285714,1.57142857142857,43.758496581316,"A","A"
"52",16,47.2881219237163,110,4703.13935105118,2023-08-03,"38","LMB",485,1461,"150.333J-34",150.333,"CL",15.7142857142857,2.28571428571429,20.6885533416259,"A","A"
"53",24,440.667483398945,134,5072.07830183099,2023-08-27,"38","LMB",485,1461,"150.333J-34",150.333,"CL",19.1428571428571,3.42857142857143,128.528015991359,"A","A"
"54",15,407.136461720955,149,4721.49547720262,2023-09-11,"38","LMB",485,1461,"150.333J-34",150.333,"CL",21.2857142857143,2.14285714285714,189.997015469779,"A","A"
"55",14,280.325002493841,163,4904.72580724922,2023-09-25,"38","LMB",485,1461,"150.333J-34",150.333,"CL",23.2857142857143,2,140.16250124692,"A","A"
"56",14,281.983257167807,177,4710.0633017552,2023-10-09,"38","LMB",485,1461,"150.333J-34",150.333,"CL",25.2857142857143,2,140.991628583903,"A","A"
"57",14,464.74428713349,191,5128.02783456097,2023-10-23,"38","LMB",485,1461,"150.333J-34",150.333,"CL",27.2857142857143,2,232.372143566745,"A","A"
"58",25,251.290667091555,216,5349.36281916472,2023-11-17,"38","LMB",485,1461,"150.333J-34",150.333,"CL",30.8571428571429,3.57142857142857,70.3613867856354,"A","A"
"59",17,42.2640695083724,233,5391.62688867309,2023-12-04,"38","LMB",485,1461,"150.333J-34",150.333,"CL",33.2857142857143,2.42857142857143,17.4028521505063,"A","A"
"60",15,26.8482685681741,248,5418.47513775038,2023-12-19,"38","LMB",485,1461,"150.333J-34",150.333,"CL",35.4285714285714,2.14285714285714,12.5291919984812,"A","A"
"61",16,22.1706121612648,264,5396.30458016056,2024-01-04,"38","LMB",485,1461,"150.333J-34",150.333,"CL",37.7142857142857,2.28571428571429,9.69964282055334,"A","A"
"62",22,177.540888997681,286,5232.91130728288,2024-01-26,"38","LMB",485,1461,"150.333J-34",150.333,"CL",40.8571428571429,3.14285714285714,56.4902828628984,"A","A"
"63",15,202.71458462178,301,5114.68895605248,2024-02-10,"38","LMB",485,1461,"150.333J-34",150.333,"CL",43,2.14285714285714,94.6001394901639,"A","A"
"64",27,478.600300149086,328,4698.46144633607,2024-03-08,"38","LMB",485,1461,"150.333J-34",150.333,"CL",46.8571428571429,3.85714285714286,124.081559297911,"A","A"
"65",43,499.590797258253,371,5135.67945316165,2024-04-20,"38","LMB",485,1461,"150.333J-34",150.333,"CL",53,6.14285714285714,81.3287344373901,"A","A"
"66",0,0,0,0,2023-04-01,"57","LMB",463,118,"150.132J-36",150.132,"CL",0,0,NA,"A","A"
"67",29,731.433020397388,29,731.433020397388,2023-04-30,"57","LMB",463,118,"150.132J-36",150.132,"CL",4.14285714285714,4.14285714285714,176.552798026956,"A","A"
"68",9,5507.07016817056,38,4775.64047372906,2023-05-09,"57","LMB",463,118,"150.132J-36",150.132,"CL",5.42857142857143,1.28571428571429,4283.27679746599,"A","A"
"69",16,254.138457043741,54,4521.50213942475,2023-05-25,"57","LMB",463,118,"150.132J-36",150.132,"CL",7.71428571428571,2.28571428571429,111.185574956637,"A","A"
"70",0,0,0,0,2023-04-01,"168","ALB",444,143,"150.132I-75",150.132,"CL",0,0,NA,"A","A"
"71",12,711.345499265318,12,711.345499265318,2023-04-13,"168","ALB",444,143,"150.132I-75",150.132,"CL",1.71428571428571,1.71428571428571,414.951541238102,"A","A"
"72",17,11925.3165803657,29,12596.54604132,2023-04-30,"168","ALB",444,143,"150.132I-75",150.132,"CL",4.14285714285714,2.42857142857143,4910.42447426822,"A","A"
"73",8,978.552235376493,37,11639.8128044663,2023-05-08,"168","ALB",444,143,"150.132I-75",150.132,"CL",5.28571428571429,1.14285714285714,856.233205954431,"A","A"
"74",16,996.409220288224,53,12614.4030262317,2023-05-24,"168","ALB",444,143,"150.132I-75",150.132,"CL",7.57142857142857,2.28571428571429,435.929033876098,"A","A"
"75",13,619.298296655378,66,13233.7011711465,2023-06-06,"168","ALB",444,143,"150.132I-75",150.132,"CL",9.42857142857143,1.85714285714286,333.468313583665,"A","A"
"76",16,644.260812239858,82,12589.4404785482,2023-06-22,"168","ALB",444,143,"150.132I-75",150.132,"CL",11.7142857142857,2.28571428571429,281.864105354938,"A","A"
"77",15,50.2896942412176,97,12629.1141237011,2023-07-07,"168","ALB",444,143,"150.132I-75",150.132,"CL",13.8571428571429,2.14285714285714,23.4685239792349,"A","A"
"78",10,30.8527905071775,107,12598.2613857198,2023-07-17,"168","ALB",444,143,"150.132I-75",150.132,"CL",15.2857142857143,1.42857142857143,21.5969533550243,"A","A"
"79",18,12596.7120357773,125,154.84754076922,2023-08-04,"168","ALB",444,143,"150.132I-75",150.132,"CL",17.8571428571429,2.57142857142857,4898.72134724672,"A","A"
"80",23,710.799012997367,148,712.348404348371,2023-08-27,"168","ALB",444,143,"150.132I-75",150.132,"CL",21.1428571428571,3.28571428571429,216.330134390503,"A","A"
"81",15,7.65826288056487,163,706.695963553368,2023-09-11,"168","ALB",444,143,"150.132I-75",150.132,"CL",23.2857142857143,2.14285714285714,3.57385601093027,"A","A"
"82",14,2.77138596199043,177,705.693055961418,2023-09-25,"168","ALB",444,143,"150.132I-75",150.132,"CL",25.2857142857143,2,1.38569298099521,"A","A"
"83",14,314.215731125036,191,1019.90877077459,2023-10-09,"168","ALB",444,143,"150.132I-75",150.132,"CL",27.2857142857143,2,157.107865562518,"A","A"
"84",14,11.9889594983463,205,1027.88587719271,2023-10-23,"168","ALB",444,143,"150.132I-75",150.132,"CL",29.2857142857143,2,5.99447974917314,"A","A"
"85",11,311.206904259485,216,716.678986106948,2023-11-03,"168","ALB",444,143,"150.132I-75",150.132,"CL",30.8571428571429,1.57142857142857,198.040757256036,"A","A"
"86",14,309.885143333982,230,1026.56411626721,2023-11-17,"168","ALB",444,143,"150.132I-75",150.132,"CL",32.8571428571429,2,154.942571666991,"A","A"
"87",17,1330.4711560564,247,303.910518840316,2023-12-04,"168","ALB",444,143,"150.132I-75",150.132,"CL",35.2857142857143,2.42857142857143,547.841064258519,"A","A"
"88",14,12696.6969694838,261,12392.789888286,2023-12-18,"168","ALB",444,143,"150.132I-75",150.132,"CL",37.2857142857143,2,6348.3484847419,"A","A"
"89",17,1181.12863380931,278,11258.4119132661,2024-01-04,"168","ALB",444,143,"150.132I-75",150.132,"CL",39.7142857142857,2.42857142857143,486.347084509715,"A","A"
"90",22,1328.60492294273,300,12540.2661774195,2024-01-26,"168","ALB",444,143,"150.132I-75",150.132,"CL",42.8571428571429,3.14285714285714,422.737930027232,"A","A"
"91",14,1095.61370953271,314,11491.4040253788,2024-02-09,"168","ALB",444,143,"150.132I-75",150.132,"CL",44.8571428571429,2,547.806854766357,"A","A"
"92",14,7839.06326910084,328,3744.32195997366,2024-02-23,"168","ALB",444,143,"150.132I-75",150.132,"CL",46.8571428571429,2,3919.53163455042,"A","A"
"93",14,3077.42308832666,342,709.020730162903,2024-03-08,"168","ALB",444,143,"150.132I-75",150.132,"CL",48.8571428571429,2,1538.71154416333,"A","A"
"94",21,1164.53772388043,363,455.519937568176,2024-03-29,"168","ALB",444,143,"150.132I-75",150.132,"CL",51.8571428571429,3,388.179241293477,"A","A"
"95",22,13107.5353851782,385,12652.0183500521,2024-04-20,"168","ALB",444,143,"150.132I-75",150.132,"CL",55,3.14285714285714,4170.57944073851,"A","A"
"96",0,0,0,0,2023-04-01,"47","LMB",385,16,"150.222I-19",150.222,"CL",0,0,NA,"A","A"
"97",12,24.4236101124212,12,24.4236101124212,2023-04-13,"47","LMB",385,16,"150.222I-19",150.222,"CL",1.71428571428571,1.71428571428571,14.2471058989123,"A","A"
"98",17,584.665402283592,29,574.044351327253,2023-04-30,"47","LMB",385,16,"150.222I-19",150.222,"CL",4.14285714285714,2.42857142857143,240.744577410891,"A","A"
"99",9,156.538150914393,38,477.678585612544,2023-05-09,"47","LMB",385,16,"150.222I-19",150.222,"CL",5.42857142857143,1.28571428571429,121.751895155639,"A","A"
"100",16,46.2683800617677,54,443.788623871308,2023-05-25,"47","LMB",385,16,"150.222I-19",150.222,"CL",7.71428571428571,2.28571428571429,20.2424162770234,"A","A"
"101",12,288.596449065039,66,720.006660261443,2023-06-06,"47","LMB",385,16,"150.222I-19",150.222,"CL",9.42857142857143,1.71428571428571,168.347928621273,"A","A"
"102",15,776.394716351748,81,156.066763530867,2023-06-21,"47","LMB",385,16,"150.222I-19",150.222,"CL",11.5714285714286,2.14285714285714,362.317534297483,"A","A"
"103",16,1770.95895652175,97,1714.57085902286,2023-07-07,"47","LMB",385,16,"150.222I-19",150.222,"CL",13.8571428571429,2.28571428571429,774.794543478265,"A","A"
"104",11,801.743857800756,108,912.828864488432,2023-07-18,"47","LMB",385,16,"150.222I-19",150.222,"CL",15.4285714285714,1.57142857142857,510.200636782299,"A","A"
"105",17,1476.49999899944,125,2389.32700022154,2023-08-04,"47","LMB",385,16,"150.222I-19",150.222,"CL",17.8571428571429,2.42857142857143,607.970587823297,"A","A"
"106",23,63.9602061581004,148,2453.28717125729,2023-08-27,"47","LMB",385,16,"150.222I-19",150.222,"CL",21.1428571428571,3.28571428571429,19.4661497002914,"A","A"
"107",15,59.940220021415,163,2403.9588895422,2023-09-11,"47","LMB",385,16,"150.222I-19",150.222,"CL",23.2857142857143,2.14285714285714,27.9721026766603,"A","A"
"108",14,53.6099378029816,177,2457.56877591309,2023-09-25,"47","LMB",385,16,"150.222I-19",150.222,"CL",25.2857142857143,2,26.8049689014908,"A","A"
"109",14,24.4264106522202,191,2468.18777751017,2023-10-09,"47","LMB",385,16,"150.222I-19",150.222,"CL",27.2857142857143,2,12.2132053261101,"A","A"
"110",14,65.2321167256985,205,2404.96210826648,2023-10-23,"47","LMB",385,16,"150.222I-19",150.222,"CL",29.2857142857143,2,32.6160583628492,"A","A"
"111",11,8.66178779853044,216,2396.30034304621,2023-11-03,"47","LMB",385,16,"150.222I-19",150.222,"CL",30.8571428571429,1.57142857142857,5.51204678088301,"A","A"
"112",14,60.4606002116731,230,2423.48422888458,2023-11-17,"47","LMB",385,16,"150.222I-19",150.222,"CL",32.8571428571429,2,30.2303001058365,"A","A"
"113",17,231.077115305758,247,2616.48951199343,2023-12-04,"47","LMB",385,16,"150.222I-19",150.222,"CL",35.2857142857143,2.42857142857143,95.1494004200178,"A","A"
"114",15,223.467649855532,262,2400.09644928195,2023-12-19,"47","LMB",385,16,"150.222I-19",150.222,"CL",37.4285714285714,2.14285714285714,104.284903265915,"A","A"
"115",16,40.2992235874708,278,2399.30999858838,2024-01-04,"47","LMB",385,16,"150.222I-19",150.222,"CL",39.7142857142857,2.28571428571429,17.6309103195185,"A","A"
"116",22,501.22901528167,300,2853.95168770194,2024-01-26,"47","LMB",385,16,"150.222I-19",150.222,"CL",42.8571428571429,3.14285714285714,159.481959407804,"A","A"
"117",15,503.235462136897,315,2397.30355737949,2024-02-10,"47","LMB",385,16,"150.222I-19",150.222,"CL",45,2.14285714285714,234.843215663885,"A","A"
"118",14,59.9472929044596,329,2457.25079069769,2024-02-24,"47","LMB",385,16,"150.222I-19",150.222,"CL",47,2,29.9736464522298,"A","A"
