,RL_prox_m,DATE,Month,Day,Year,TagSite,Species,TL,RewardTag1,RewardTag2,Radio_Tag_,Code,Combined,Group_,Notes,Lat,Long,A_D,GroupMort,Ramp,Notes1,DaysPostRe,DistFromRa,geometry,
226,0,5/20/23,5,20,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.943167,-86.027908,A,A,RL,NA,NA,0,c(-86.027908, 33.9431670000001)
227,764.6123056,5/24/23,5,24,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.93714,-86.03087,A,A,RL,NA,NA,723.023179,c(-86.0308699999999, 33.9371400000001)
228,Inf,6/5/23,6,5,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.94403,-86.02654,A,A,RL,NA,NA,161.414296,c(-86.02654, 33.9440300000001)
229,345.2083195,6/22/23,6,22,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.94165,-86.03079,A,A,RL,NA,NA,315.513009,c(-86.03079, 33.94165)
230,790.9003424,7/7/23,7,7,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.93904,-86.03416,D,A,RL,NA,NA,736.886012,c(-86.03416, 33.93904)
231,788.8224143,7/17/23,7,17,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED, Remove?",33.93906,-86.03413,D,D,RL,NA,NA,734.079328,c(-86.0341299999999, 33.93906)
232,800.3742229,8/4/23,8,4,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED, Remove",33.93898,-86.03422,D,D,RL,NA,NA,745.957274,c(-86.0342199999999, 33.9389800000001)
233,803.6143477,8/26/23,8,26,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED, Remove",33.93909,-86.03431,D,D,RL,NA,NA,744.738646,c(-86.0343099999999, 33.9390900000001)
234,801.9942796,9/10/23,9,10,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED, Remove",33.93903,-86.03426,D,D,RL,NA,NA,745.933178,c(-86.03426, 33.9390300000001)
235,809.8481078,9/24/23,9,24,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93896,-86.03431,D,D,RL,NA,NA,0,c(-86.0343099999999, 33.9389600000001)
236,803.6143477,10/8/23,10,8,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93908,-86.0343,D,D,RL,NA,NA,0,c(-86.0343, 33.93908)
237,796.2183758,10/23/23,10,23,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93908,-86.03422,D,D,RL,NA,NA,0,c(-86.0342199999999, 33.93908)
238,815.1661563,11/3/23,11,3,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93898,-86.03437,D,D,RL,NA,NA,0,c(-86.03437, 33.9389800000001)
239,803.6143477,11/16/23,11,16,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93906,-86.03431,D,D,RL,NA,NA,0,c(-86.0343099999999, 33.93906)
240,809.3902515,12/3/23,12,3,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93904,-86.03433,D,D,RL,NA,NA,0,c(-86.03433, 33.93904)
241,805.6922638,12/18/23,12,18,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93904,-86.03429,D,D,RL,NA,NA,0,c(-86.0342899999999, 33.93904)
242,804.0722019,1/3/24,1,3,2024,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,NA,33.93898,-86.03425,D,D,RL,Removed 1/16/23,NA,0,c(-86.03425, 33.9389800000001)